,Acinar,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Mesenchymal cell,Monocyte,Neutrophil,NK cell,Pancreatic A cell,Pancreatic D cell,Pancreatic ductal cell,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory,Type B pancreatic cell
IL2,0,0.0151175811870101,0.0123604465709729,0,0,0,0,0,0.00266765792753592,0.00830284266816775,0.0137016093953893,0.0627030539311241,0.0152671755725191,0,0,0.0081453634085213,0.060387811634349,0.0632445310807884,0,0.00375272105663804
IL20,0.0149446786216855,0.0257558790593505,0.0350877192982456,0.0136292223095051,0.0154741428735237,0.00955564970447958,0.0240863311706906,0.00547522652785811,0.00640675223580348,0.0100853738624636,0.030230535015224,0.0445476436188511,0.0488549618320611,0.0313562579785734,0.0258165739552132,0.0081453634085213,0,0.0179770413688542,0.00365497076023392,0.0467621095367192
IL20RA,0.0573288247780995,0.0363941769316909,0,0.017826983503535,0.0242432060543516,0.0160910764997294,0.0427401474306004,0.0152432362958679,0.0130540310060569,0.00830284266816775,0.00543714658547195,0.0554408898062149,0.270229007633588,0.155896130181453,0.0220225360148338,0.0081453634085213,0.0182825484764543,0.01111833080644,0.0175438596491228,0.477363479747326
IL22RA1,1.53602142894793,0.0576707726763718,0.194178628389155,0.33144638648861,0.411171310629515,0.137394973845709,1.52043329215312,0.130017351069983,0.090328646710253,0.0475185289426775,0.0922140060896042,0.253697970416237,0.145038167938931,0.691115121930313,1.543702752817,0.37719298245614,0.113019390581717,0.200418742329074,0.00365497076023392,0.188350538869376
IL23A,0.0979285030883178,0.100223964165733,0.0502392344497608,0.0729575805184603,0.0797987616099071,0.0702872987042405,0.144403446047109,0.0655484866011182,0.0728795399383377,0.0519748569284173,0.0343627664201827,0.146581049573826,0.105343511450382,0.119144071550993,0.118228498074454,0.0795739348370927,0.0814404432132964,0.0975380838928597,0.100877192982456,0.159804484568437
IL24,0.0849213105903662,0.110862262038074,0.0881180223285487,0.0380695208169678,0.046410962045637,0.0697293964168411,0.0250190219836861,0.0377096587622903,0.0595849823978309,0.0341495449854583,0.0756850804697695,0.0332912892252418,0.0412213740458015,0.0357020248028399,0.0109114249037227,0.0795739348370927,0.0182825484764543,0.0248357519312685,0.0453216374269006,0.0391498283898022
IL27RA,0.0301733514995951,0.206606942889138,0.133572567783094,0.0860172820109976,0.0341560600848527,0.0922048885663589,0.0379212448967904,0.0198830409356725,0.125226860254083,0.0163242330424993,0.141800782949108,0.058708863662424,0.0412213740458015,0.0643192732593864,0.0339466552560262,0,0.334072022160665,0.244314489928525,0.198099415204678,0.070360181092162
IL2RA,0.0088082942934405,0.132138857782755,0.0426634768740032,0.0233307148468185,0.0227726178190575,0.052593826161003,0.03248054848765,0.0098708309234625,0.0151313056217611,0.00830284266816775,0.0219660722053067,0.0227611512441234,0.016793893129771,0.0257059301764678,0.0147054628441021,0.0200501253132832,0.239335180055402,0.0701032416432027,0.198099415204678,0.0283657634316698
IL2RB,0.00879008543786708,0.0257558790593505,0.0199362041467305,0.0195993715632364,0.0161277376447655,0.0133812653895039,0.0303042699239939,0.0132896343422659,0.00973039162093019,0.00830284266816775,0.621139625924315,0.0184038527691778,0.0106870229007634,0.0135327974851668,0.0163314791042647,0.043859649122807,0.502493074792244,0.574904339036893,0.350877192982456,0.0282388920792211
IL2RG,0.0189931141775108,0.472564389697648,0.0956937799043062,0.0505695208169678,0.0302889576883385,0.0855100611175664,0.0474036014955779,0.0206156416682733,0.0762031793234645,0.1464490102261,0.534362766420183,0.0162252035317051,0.0152671755725191,0.0341066381293042,0.0724290400798745,0.0676691729323308,0.702493074792244,0.728539455634972,0.698099415204678,0.0416872554387746
